NO,stock,name,sector
601,093520,매커스,074605
602,141070,맥스로텍,032902
603,088980,맥쿼리인프라,116402
604,094800,맵스리얼티1,116402
605,067280,멀티캠퍼스,168506
606,072870,메가스터디,105801
607,215200,메가스터디교육,168505
608,133750,메가엠디,168505
609,200580,메디쎄이,032701
610,041920,메디아나,032701
611,233250,메디안디노스틱,032103
612,236340,메디젠휴먼케어,137001
613,086900,메디톡스,032101
614,078160,메디포스트,032101
615,065650,메디프론,074605
616,015540,메디플란트,147509
617,138040,메리츠금융지주,116409
618,008560,메리츠종금증권,116601
619,000060,메리츠화재,116501
620,021880,메이슨캐피탈,116409
621,140410,메지온,137001
622,059210,메타바이오메드,032103
623,058110,멕아이씨에스,032701
624,096640,멜파스,032602
625,017180,명문제약,032102
626,012690,모나리자,031709
627,005360,모나미,074604
628,149940,모다,032604
629,080420,모다이노칩,032602
630,080160,모두투어,147502
631,204210,모두투어리츠,126801
632,100030,모바일리더,105802
633,087260,모바일어플라이언스,105802
634,101330,모베이스,032604
635,250060,모비스,106201
636,033200,모아텍,032602
637,009680,모토닉,033003
638,006920,모헨즈,032303
639,009580,무림P&P,031701
640,001810,무림SP,031701
641,009200,무림페이퍼,031701
642,033920,무학,031101
643,008420,문배철강,032401
644,161570,미동앤씨네마,032605
645,095500,미래나노텍,032202
646,025560,미래산업,032702
647,007120,미래아이앤지,106201
648,006800,미래에셋대우,116601
649,265480,미래에셋대우스팩1호,116601
650,085620,미래에셋생명,116501
651,215750,미래에셋제3호스팩,116601
652,239340,미래에셋제5호스팩,116601
653,233190,미래자원엠엘,031008
654,049950,미래컴퍼니,032902
655,213090,미래테크놀로지,105802
656,207760,미스터블루,106309
657,225850,미애부,074604
658,002840,미원상사,032004
659,268280,미원에스씨,032001
660,107590,미원홀딩스,032001
661,134380,미원화학,032004
662,003650,미창석유공업,031902
663,059090,미코,032601
664,201490,미투온,105802
665,214180,민앤지,106309
666,155900,바다로19호,147601
667,206640,바디텍메드,032103
668,018700,바른손,095601
669,035620,바른손이앤에이,105802
670,064520,바른전자,032601
671,029480,바른테크놀로지 ,032604
672,053030,바이넥스,032102
673,084990,바이로메드,137001
674,064550,바이오니아,032103
675,208710,바이오로그디바이스,032602
676,142760,바이오리더스,137001
677,065940,바이오빌,032001
678,038460,바이오스마트,032602
679,217950,바이오씨앤디,137001
680,216400,바이오코아,137001
681,086040,바이오톡스텍,137001
682,199290,바이오프로테크,032701
683,032980,바이온,074603
684,222160,바이옵트로,032702
685,043150,바텍,032701
686,003610,방림,031302
687,001340,백광산업,032001
688,014580,백광소재,032303
689,046310,백금T&A,032604
690,035150,백산,032202
691,036620,버추얼텍,074607
692,002410,범양건영,064101
693,177350,베셀,032902
694,096300,베트남개발1,116402
695,007210,벽산,032309
696,225530,보광산업,020701
697,250000,보라티알,074603
698,002760,보락,032004
699,014100,보령메디앙스,032004
700,003850,보령제약,032102
701,006910,보성파워텍,032501
702,000890,보해양조,031101
703,242420,본느,032004
704,206950,볼빅,033303
705,003000,부광약품,032102
706,001270,부국증권,116601
707,026940,부국철강,032401
708,014470,부방,116409
709,015350,부산도시가스,043502
710,011390,부산산업,032303
711,005030,부산주공,033003
712,008470,부스타,032501
713,100120,뷰웍스,032701
714,066980,브레인콘텐츠,106309
715,064480,브리지텍,105802
716,251630,브이원텍,032902
717,033560,블루콤,032605
718,126340,비나텍,032602
719,121800,비덴트,032604
720,148140,비디아이,032902
721,100220,비상교육,105801
722,200780,비씨월드제약,032102
723,141000,비아트론,032902
724,090460,비에이치,032602
725,083650,비에이치아이,032901
726,215050,비엔디생활건강,032004
727,086670,비엠티,032901
728,082920,비츠로셀,032802
729,054220,비츠로시스,032801
730,042370,비츠로테크,116409
731,032850,비트컴퓨터,105802
732,148780,비플라이소프트,105802
733,093190,빅솔론,032603
734,065450,빅텍,032702
735,210120,빅텐츠,105901
736,005180,빙그레,031005
737,072950,빛샘전자,032602
738,266170,뿌리깊은나무들,105901
739,143240,사람인에이치알,106301
740,003960,사조대림,031002
741,008040,사조동아원,031006
742,007160,사조산업,010301
743,014710,사조씨푸드,031002
744,006090,사조오양,031002
745,079660,사조해표,031007
746,123260,사파이어테크놀로지,032601
747,100090,삼강엠앤티,032401
748,005090,삼광글라스,032301
749,122350,삼기오토모티브,033003
750,014970,삼륭물산,031702
751,018310,삼목에스폼,032501
752,053700,삼보모터스,033003
753,009620,삼보산업,032402
754,023600,삼보판지,031701
755,111870,삼본정밀전자,032605
756,001470,삼부토건,064102
757,006400,삼성SDI,032802
758,006660,삼성공조,033003
759,028260,삼성물산,074607
760,207940,삼성바이오로직스,032101
761,032830,삼성생명,116501
762,018260,삼성에스디에스,106201
763,028050,삼성엔지니어링,137201
764,009150,삼성전기,032602
765,005930,삼성전자,032604
766,001360,삼성제약,032102
767,010140,삼성중공업,033101
768,016360,삼성증권,116601
769,068290,삼성출판사,105801
770,029780,삼성카드,116409
771,000810,삼성화재해상보험,116501
772,006110,삼아알미늄,032402
773,009300,삼아제약,032102
774,145990,삼양사,031007
775,003230,삼양식품,031007
776,225190,삼양옵틱스,032703
777,002170,삼양통상,031501
778,000070,삼양홀딩스,116409
779,002810,삼영무역,074607
780,054540,삼영엠텍,032501
781,065570,삼영이엔씨,032604
782,005680,삼영전자공업,032602
783,003720,삼영화학공업,032202
784,082660,삼우엠스,032604
785,023000,삼원강재,033003
786,073640,삼원테크,032509
787,004380,삼익THK,032901
788,002450,삼익악기,033302
789,032280,삼일,084903
790,002290,삼일기업공사,064101
791,000520,삼일제약,032102
792,009770,삼정펄프,031701
793,037460,삼지전자,032604
794,032750,삼진,032604
795,054090,삼진엘앤디,032602
796,005500,삼진제약,032102
797,000250,삼천당제약,032102
798,004690,삼천리,043502
799,024950,삼천리자전거,074604
800,038500,삼표시멘트,032309
801,017480,삼현철강,032401
802,001880,삼호,064101
803,010960,삼호개발,064201
804,046390,삼화네트웍스,105901
805,004450,삼화왕관,032509
806,009470,삼화전기,032602
807,011230,삼화전자공업,032605
808,001820,삼화콘덴서공업,032602
809,000390,삼화페인트공업,032004
810,027580,상보,032602
811,041650,상신브레이크,033003
812,091580,상신이디피,032802
813,089980,상아프론테크,032202
814,042600,새로닉스,032602
815,075180,새론오토모티브,033003
816,007540,샘표,116409
817,248170,샘표식품,031007
818,038070,서린바이오,074607
819,006730,서부T&D,074608
820,079650,서산,032303
821,100660,서암기계공업,032901
822,007860,서연,116409
823,200880,서연이화,033003
824,012860,서연전자,033003
825,019770,서연탑메탈,032902
826,017390,서울도시가스,043502
827,043710,서울리거,033309
828,046890,서울반도체,032601
829,004410,서울식품공업,031007
830,063170,서울옥션,074601
831,027040,서울전자통신,032801
832,018680,서울제약,032102
833,021050,서원,032403
834,093920,서원인텍,032604
835,189860,서전기전,032801
836,178320,서진시스템,032604
837,122690,서진오토모티브,033003
838,140070,서플러스글로벌,074605
839,011370,서한,064101
840,065710,서호전기,032801
841,033790,서화정보통신,032604
842,008490,서흥,032004
843,035890,서희건설,064101
844,003100,선광,085209
845,123420,선데이토즈,105802
846,007610,선도전기,032801
847,067370,선바이오,032102
848,136490,선진,031008
849,002820,선창산업,031602
850,014620,성광벤드,032401
851,037350,성도이엔지,137201
852,014910,성문전자,032602
853,003080,성보화학,032003
854,004980,성신양회,032303
855,011300,성안,031302
856,081580,성우전자,032604
857,045300,성우테크론,032602
858,015750,성우하이텍,033003
859,005980,성지건설,064102
860,000180,성창기업지주,137105
861,080470,성창오토텍,033003
862,043260,성호전자,032602
863,199870,세기리텍,032402
864,002420,세기상사,105901
865,053060,세동,033003
866,017510,세명전기,032509
867,214310,세미콘라이트,032601
868,004360,세방,084903
869,004490,세방전지,032802
870,011560,세보엠이씨,064202
871,110660,세신버팔로,032509
872,001430,세아베스틸,032401
873,003030,세아제강,032401
874,019440,세아특수강,032401
875,058650,세아홀딩스,116409
876,013000,세우글로벌,074607
877,100700,세운메디칼,032103
878,234100,세원,033003
879,024830,세원물산,033003
880,091090,세원셀론텍,032501
881,021820,세원정공,033003
882,067830,세이브존I&C,074701
883,033530,세종공업,033003
884,135270,세종머티리얼즈,032402
885,036630,세종텔레콤,106102
886,039310,세중,147502
887,075580,세진중공업,033101
888,067770,세진티에스,032602
889,053450,세코닉스,032703
890,027970,세하,031701
891,145210,세화아이엠씨,032902
892,085980,세화피앤씨,032004
893,049180,셀루메드,032101
894,108860,셀바스AI,105802
895,208370,셀바스헬스케어,032701
896,068270,셀트리온,032101
897,068760,셀트리온제약,032102
898,091990,셀트리온헬스케어,074607
899,053110,소리바다,106301
900,032680,소프트센,074605
901,210610,소프트캠프,105802
902,066910,손오공,033304
903,043100,솔고바이오,032701
904,154040,솔루에타,032602
905,035610,솔본,137105
906,036830,솔브레인,032004
907,230980,솔트웍스,105802
908,004430,송원산업,032001
909,086980,쇼박스,105901
910,050960,수산아이앤티,105802
911,017550,수산중공업,032902
912,084180,수성,032901
913,253840,수젠텍,032103
914,185190,수프로,074602
915,236200,슈프리마,032604
916,094840,슈프리마에이치큐,116409
917,192440,슈피겐코리아,033309
918,099440,스맥,032902
919,159910,스킨앤스킨,032001
920,115570,스타플렉스,032202
921,258540,스템랩,137001
922,087220,스틸플라워,032401
923,028040,스페로 글로벌,032309
924,245030,스페이스솔루션,105802
925,013810,스페코,032902
926,039670,스포츠서울,105801
927,049830,승일,032509
928,020710,시공테크,137302
929,033170,시그네틱스,032601
930,246830,시냅스엠,106301
931,025320,시노펙스,032602
932,131090,시큐브,105802
933,232830,시큐센,105802
934,016590,신대양제지,031702
935,029530,신도리코,032603
936,004970,신라교역,010301
937,001000,신라섬유,126801
938,025870,신라에스지,031002
939,215600,신라젠,137001
940,065350,신성델타테크,032805
941,011930,신성이엔지,032601
942,005390,신성통상,074607
943,004170,신세계,074701
944,035510,신세계I&C,106201
945,034300,신세계건설,064101
946,031430,신세계인터내셔날,074704
947,031440,신세계푸드,095601
948,006880,신송홀딩스,116409
949,056000,신스타임즈,105802
950,002800,신신제약,032102
951,225590,신영스팩2호,116601
952,263770,신영스팩3호,116601
953,005800,신영와코루,031401
954,001720,신영증권,116601
955,009270,신원,031401
956,017000,신원종합개발,064101
957,002700,신일산업,074605
958,012790,신일제약,032102
959,138070,신진에스엠,032509
960,019170,신풍제약,032102
961,002870,신풍제지,031701
962,005450,신한,064101
963,257730,신한제3호스팩,116601
964,055550,신한지주,116409
965,001770,신화실업,032401
966,056700,신화인터텍,032202
967,187270,신화콘텍,032801
968,004080,신흥,074605
